x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,y8,,x_new1,y_new1,x_new2,y_new2,x_new3,y_new3,x_new4,y_new4,x_new5,y_new5,x_new6,y_new6,x_new7,y_new7,x_new8,y_new8
5.3,5.7036,5.9,5.3,5.3,5.7,5.3,5.3,-22.75423,-31.61411,-20.8516,-4.67923,-2.06786,1.65963,14.70932,24.5639,,5.3,1.865366243,5.7036,-14.22489421,5.9,-22.05474345,5.3,1.865366243,5.3,1.865366243,5.7,-14.08137355,5.3,1.865366243,5.3,1.865366243
5.304,5.70721,5.9034,5.304,5.304,5.7036,5.30801,5.30801,-22.73413,-31.4614,-20.74392,-4.67923,-2.06786,1.65963,14.70932,24.5639,,5.304,1.873752555,5.70721,-14.06437207,5.9034,-21.81938973,5.304,1.873752555,5.304,1.873752555,5.7036,-13.92167563,5.30801,1.71524488,5.30801,1.71524488
5.30801,5.71081,5.90681,5.30801,5.30801,5.70721,5.38408,5.38408,-22.71299,-31.3031,-20.63245,-4.67923,-2.06786,1.65963,14.70932,24.5639,,5.30801,1.63622693,5.71081,-12.25419089,5.90681,-19.01318267,5.30801,1.63622693,5.30801,1.63622693,5.70721,-12.13004614,5.38408,-0.987020546,5.38408,-0.987020546
5.31201,5.71441,5.91021,5.31201,5.31201,5.71081,5.38809,5.38809,-22.69075,-31.13905,-20.51709,-4.67923,-2.06786,1.65963,14.70932,24.5639,,5.31201,1.635188371,5.71441,-12.17338952,5.91021,-18.89237449,5.31201,1.635188371,5.31201,1.635188371,5.71081,-12.04985354,5.38809,-0.975538781,5.38809,-0.975538781
5.31602,5.71802,5.91361,5.31602,5.31602,5.71441,5.39209,5.39209,-22.66737,-30.96905,-20.39771,-4.67923,-2.06786,1.65963,14.70932,24.5639,,5.31602,1.634447038,5.71802,-12.09057194,5.91361,-18.76837408,5.31602,1.634447038,5.31602,1.634447038,5.71441,-11.9673199,5.39209,-0.962722597,5.39209,-0.962722597
5.32002,5.72162,5.91702,5.32002,5.32002,5.71802,5.3961,5.3961,-22.64278,-30.79293,-20.27419,-4.67923,-2.06786,1.65964,14.70932,24.5639,,5.32002,1.633460126,5.72162,-12.00381828,5.91702,-18.6390877,5.32002,1.633460126,5.32002,1.633460126,5.71802,-11.88157176,5.3961,-0.950016321,5.3961,-0.950016321
5.32402,5.72523,5.92042,5.32402,5.32402,5.72162,5.4001,5.4001,-22.61694,-30.61048,-20.14639,-4.67923,-2.06786,1.65964,14.70932,24.5639,,5.32402,1.632803913,5.72523,-11.91496526,5.92042,-18.50600005,5.32402,1.632803913,5.32402,1.632803913,5.72162,-11.79306539,5.4001,-0.936210516,5.4001,-0.936210516
5.32803,5.72883,5.92382,5.32803,5.32803,5.72523,5.4041,5.4041,-22.58979,-30.4215,-20.0142,-4.67923,-2.06786,1.65964,14.70932,24.5639,,5.32803,1.632127352,5.72883,-11.82269461,5.92382,-18.36849235,5.32803,1.632127352,5.32803,1.632127352,5.72523,-11.70184292,5.4041,-0.921536088,5.4041,-0.921536088
5.33203,5.73243,5.92723,5.33203,5.33203,5.72883,5.40811,5.40811,-22.56126,-30.2258,-19.87747,-4.67923,-2.06786,1.65964,14.70932,24.5639,,5.33203,1.631440122,5.73243,-11.72687843,5.92723,-18.22588056,5.33203,1.631440122,5.33203,1.631440122,5.72883,-11.60677367,5.40811,-0.906773853,5.40811,-0.906773853
5.33604,5.73604,5.93063,5.33604,5.33604,5.73243,5.41211,5.41211,-22.53129,-30.02315,-19.73606,-4.67923,-2.06786,1.65964,14.70932,24.5639,,5.33604,1.631107831,5.73604,-11.62867563,5.93063,-18.07922879,5.33604,1.631107831,5.33604,1.631107831,5.73243,-11.50900609,5.41211,-0.89057149,5.41211,-0.89057149
